n,character,pinyin
1,阿姨,āyí
2,啊,a
3,唉,āi
4,矮,ǎi
5,爱,ài
6,爱好,àihào
7,爱护,àihù
8,爱情,àiqíng
9,爱惜,àixī
10,爱心,àixīn
11,安静,ānjìng
12,安排,ānpái
13,安全,ānquán
14,安慰,ānwèi
15,安装,ānzhuāng
16,岸,àn
17,暗,àn
18,按时,ànshí
19,按照,ànzhào
20,八,bā
21,把,bǎ
22,把握,bǎwò
23,爸爸,bàba
24,吧,ba
25,白,bái
26,百,bǎi
27,摆,bǎi
28,搬,bān
29,班,bān
30,班主任,bānzhǔrèn
31,半,bàn
32,办法,bànfǎ
33,办公室,bàngōngshì
34,办理,bànlǐ
35,帮忙,bāngmáng
36,帮助,bāngzhù
37,棒,bàng
38,傍晚,bàngwǎn
39,包,bāo
40,包裹,bāoguǒ
41,包含,bāohán
42,包括,bāokuò
43,包子,bāozi
44,薄,báo
45,饱,bǎo
46,宝贝,bǎobèi
47,宝贵,bǎoguì
48,保持,bǎochí
49,保存,bǎocún
50,保护,bǎohù
51,保留,bǎoliú
52,保险,bǎoxiǎn
53,保证,bǎozhèng
54,抱,bào
55,抱歉,bàoqiàn
56,报道,bàodào
57,报告,bàogào
58,报名,bàomíng
59,报纸,bàozhǐ
60,悲观,bēiguān
61,杯子,bēizi
62,北方,běifāng
63,北京,Běijīng
64,倍,bèi
65,背,bèi
66,背景,bèijǐng
67,被,bèi
68,被子,bèizi
69,本,běn
70,本科,běnkē
71,本来,běnlái
72,本领,běnlǐng
73,本质,běnzhì
74,笨,bèn
75,鼻子,bízi
76,比,bǐ
77,比较,bǐjiào
78,比例,bǐlì
79,比如,bǐrú
80,比赛,bǐsài
81,彼此,bǐcǐ
82,笔记本,bǐjìběn
83,毕竟,bìjìng
84,毕业,bìyè
85,避免,bìmiǎn
86,必然,bìrán
87,必须,bìxū
88,必需,bìxū
89,必要,bìyào
90,编辑,biānjí
91,鞭炮,biānpào
92,便,biàn
93,遍,biàn
94,变化,biànhuà
95,辩论,biànlùn
96,标点,biāodiǎn
97,标志,biāozhì
98,标准,biāozhǔn
99,表达,biǎodá
100,表格,biǎogé
101,表面,biǎomiàn
102,表明,biǎomíng
103,表情,biǎoqíng
104,表示,biǎoshì
105,表现,biǎoxiàn
106,表演,biǎoyǎn
107,表扬,biǎoyáng
108,别,bié
109,别人,biéren
110,宾馆,bīnguǎn
111,冰箱,bīngxiāng
112,丙,bǐng
113,饼干,bǐnggān
114,病毒,bìngdú
115,并且,bìngqiě
116,玻璃,bōli
117,博士,bóshì
118,博物馆,bówùguǎn
119,脖子,bózi
120,不必,búbì
121,不但,búdàn
122,不断,búduàn
123,不过,búguò
124,不见得,bú jiàndé
125,不客气,bú kèqi
126,不耐烦,bú nàifán
127,不要紧,bú yàojǐn
128,补充,bǔchōng
129,布,bù
130,不,bù
131,不安,bù'ān
132,不得不,bùdébù
133,不得了,bù déliǎo
134,不管,bùguǎn
135,不好意思,bù hǎoyìsi
136,不仅,bùjǐn
137,不免,bùmiǎn
138,不然,bùrán
139,不如,bùrú
140,不足,bùzú
141,部分,bùfen
142,部门,bùmén
143,步骤,bùzhòu
144,擦,cā
145,猜,cāi
146,才,cái
147,财产,cáichǎn
148,材料,cáiliào
149,踩,cǎi
150,采访,cǎifǎng
151,采取,cǎiqǔ
152,彩虹,cǎihóng
153,菜,cài
154,菜单,càidān
155,参观,cānguān
156,参加,cānjiā
157,参考,cānkǎo
158,参与,cānyù
159,餐厅,cāntīng
160,残疾,cánjí
161,惭愧,cánkuì
162,操场,cāochǎng
163,操心,cāoxīn
164,草,cǎo
165,册,cè
166,厕所,cèsuǒ
167,测验,cèyàn
168,层,céng
169,曾经,céngjīng
170,插,chā
171,差别,chābié
172,叉子,chāzi
173,茶,chá
174,差,chà
175,差不多,chàbuduō
176,拆,chāi
177,产品,chǎnpǐn
178,产生,chǎnshēng
179,尝,cháng
180,长,cháng
181,长城,Chángchéng
182,长江,Cháng Jiāng
183,长途,chángtú
184,常识,chángshí
185,场,chǎng
186,唱歌,chànggē
187,抄,chāo
188,超过,chāoguò
189,超市,chāoshì
190,朝,cháo
191,朝代,cháodài
192,炒,chǎo
193,吵,chǎo
194,吵架,chǎojià
195,车库,chēkù
196,车厢,chēxiāng
197,彻底,chèdǐ
198,沉默,chénmò
199,趁,chèn
200,衬衫,chènshān
201,称,chēng
202,称呼,chēnghu
203,称赞,chēngzàn
204,乘,chéng
205,乘坐,chéngzuò
206,承担,chéngdān
207,承认,chéngrèn
208,承受,chéngshòu
209,程度,chéngdù
210,程序,chéngxù
211,成分,chéngfèn
212,成功,chénggōng
213,成果,chéngguǒ
214,成绩,chéngjì
215,成就,chéngjiù
216,成立,chénglì
217,成熟,chéngshú
218,成为,chéngwéi
219,成语,chéngyǔ
220,成长,chéngzhǎng
221,诚恳,chéngkěn
222,诚实,chéngshí
223,城市,chéngshì
224,吃,chī
225,吃惊,chījīng
226,吃亏,chīkuī
227,迟到,chídào
228,持续,chíxù
229,池子,chízi
230,尺子,chǐzi
231,翅膀,chìbǎng
232,冲,chōng
233,充电器,chōngdiànqì
234,充分,chōngfèn
235,充满,chōngmǎn
236,重复,chóngfù
237,重新,chóngxīn
238,宠物,chǒngwù
239,抽屉,chōuti
240,抽象,chōuxiàng
241,抽烟,chōuyān
242,丑,chǒu
243,臭,chòu
244,出,chū
245,出版,chūbǎn
246,出差,chūchāi
247,出发,chūfā
248,出口,chūkǒu
249,出色,chūsè
250,出生,chūshēng
251,出席,chūxí
252,出现,chūxiàn
253,出租车,chūzūchē
254,初级,chūjí
255,除,chú
256,除非,chúfēi
257,除了,chúle
258,除夕,chúxī
259,厨房,chúfáng
260,处理,chǔlǐ
261,穿,chuān
262,船,chuán
263,传播,chuánbō
264,传递,chuándì
265,传染,chuánrǎn
266,传说,chuánshuō
267,传统,chuántǒng
268,传真,chuánzhēn
269,窗户,chuānghu
270,窗帘,chuānglián
271,闯,chuǎng
272,创造,chuàngzào
273,吹,chuī
274,春,chūn
275,磁带,cídài
276,词典,cídiǎn
277,词语,cíyǔ
278,辞职,cízhí
279,此外,cǐwài
280,次,cì
281,次要,cìyào
282,刺激,cìjī
283,匆忙,cōngmáng
284,聪明,cōngming
285,从,cóng
286,从此,cóngcǐ
287,从而,cóng'ér
288,从来,cónglái
289,从前,cóngqián
290,从事,cóngshì
291,粗心,cūxīn
292,醋,cù
293,促进,cùjìn
294,促使,cùshǐ
295,催,cuī
296,存,cún
297,存在,cúnzài
298,错,cuò
299,错误,cuòwù
300,措施,cuòshī
301,答应,dāying
302,答案,dá'àn
303,达到,dádào
304,打扮,dǎban
305,打电话,dǎ diànhuà
306,打工,dǎgōng
307,打交道,dǎ jiāodao
308,打篮球,dǎ lánqiú
309,打喷嚏,dǎ pēntì
310,打扰,dǎrǎo
311,打扫,dǎsǎo
312,打算,dǎsuàn
313,打听,dǎting
314,打印,dǎyìn
315,打招呼,dǎ zhāohu
316,打折,dǎzhé
317,打针,dǎzhēn
318,大,dà
319,大方,dàfang
320,大概,dàgài
321,大夫,dàifu
322,大使馆,dàshǐguǎn
323,大象,dàxiàng
324,大型,dàxíng
325,大约,dàyuē
326,呆,dāi
327,带,dài
328,戴,dài
329,代表,dàibiǎo
330,代替,dàitì
332,贷款,dàikuǎn
333,待遇,dàiyù
334,单纯,dānchún
335,单调,dāndiào
336,单独,dāndú
337,单位,dānwèi
338,单元,dānyuán
339,担任,dānrèn
340,担心,dānxīn
341,耽误,dānwu
342,胆小鬼,dǎnxiǎoguǐ
343,淡,dàn
344,蛋糕,dàngāo
345,但是,dànshì
346,当,dāng
347,当代,dāngdài
348,当地,dāngdì
349,当然,dāngrán
350,当时,dāngshí
351,挡,dǎng
352,刀,dāo
353,岛,dǎo
354,倒霉,dǎoméi
355,导演,dǎoyǎn
356,导游,dǎoyóu
357,导致,dǎozhì
358,倒,dào
359,到,dào
360,到处,dàochù
361,到达,dàodá
362,到底,dàodǐ
363,道德,dàodé
364,道理,dàolǐ
365,道歉,dàoqiàn
366,地,de
367,的,de
368,得,de
369,得意,déyì
370,得,děi
371,灯,dēng
372,登机牌,dēngjīpái
373,登记,dēngjì
374,等（动）,děng
375,等（助）,děng
376,等待,děngdài
377,等候,děnghòu
378,等于,děngyú
379,低,dī
380,滴,dī
381,的确,díquè
382,敌人,dírén
383,底,dǐ
384,递,dì
385,地道,dìdao
386,地方,dìfang
387,地理,dìlǐ
388,地球,dìqiú
389,地区,dìqū
390,地毯,dìtǎn
391,地铁,dìtiě
392,地图,dìtú
393,地位,dìwèi
394,地震,dìzhèn
395,地址,dìzhǐ
396,弟弟,dìdi
397,第一,dì-yī
398,点,diǎn
399,点头,diǎntóu
400,点心,diǎnxin
401,电池,diànchí
402,电脑,diànnǎo
403,电视,diànshì
404,电台,diàntái
405,电梯,diàntī
406,电影,diànyǐng
407,电子邮件,diànzǐ yóujiàn
408,钓,diào
409,掉,diào
410,调查,diàochá
411,丁,dīng
412,顶,dǐng
413,丢,diū
414,冬,dōng
415,东,dōng
416,东西,dōngxi
417,懂,dǒng
418,冻,dòng
419,洞,dòng
420,动画片,dònghuàpiàn
421,动物,dòngwù
422,动作,dòngzuò
423,都,dōu
424,逗,dòu
425,豆腐,dòufu
426,读,dú
427,独立,dúlì
428,独特,dútè
429,堵车,dǔchē
430,度过,dùguò
431,肚子,dùzi
432,短,duǎn
433,短信,duǎnxìn
434,段,duàn
435,断,duàn
436,锻炼,duànliàn
437,堆,duī
438,对（介）,duì
439,对（形）,duì
440,对比,duìbǐ
441,对不起,duìbuqǐ
442,对待,duìdài
443,对方,duìfāng
444,对话,duìhuà
445,对面,duìmiàn
446,对手,duìshǒu
447,对象,duìxiàng
448,对于,duìyú
449,吨,dūn
450,蹲,dūn
451,顿,dùn
452,多,duō
453,多亏,duōkuī
454,多么,duōme
455,多少,duōshao
456,多余,duōyú
457,朵,duǒ
458,躲藏,duǒcáng
459,饿,è
460,恶劣,èliè
461,而,ér
462,而且,érqiě
463,儿童,értóng
464,儿子,érzi
465,耳朵,ěrduo
466,二,èr
467,发,fā
468,发表,fābiǎo
469,发愁,fāchóu
470,发达,fādá
471,发抖,fādǒu
472,发挥,fāhuī
473,发明,fāmíng
474,发票,fāpiào
475,发烧,fāshāo
476,发生,fāshēng
477,发现,fāxiàn
478,发言,fāyán
479,发展,fāzhǎn
480,罚款,fákuǎn
481,法律,fǎlǜ
482,法院,fǎyuàn
483,翻,fān
484,翻译,fānyì
485,烦恼,fánnǎo
486,繁荣,fánróng
487,凡是,fánshì
488,反对,fǎnduì
489,反而,fǎn'ér
490,反复,fǎnfù
491,反应,fǎnyìng
492,反映,fǎnyìng
493,反正,fǎnzhèng
494,饭馆,fànguǎn
495,范围,fànwéi
496,方,fāng
497,方案,fāng'àn
498,方便,fāngbiàn
499,方法,fāngfǎ
500,方面,fāngmiàn
501,方式,fāngshì
502,方向,fāngxiàng
503,妨碍,fáng'ài
504,房东,fángdōng
505,房间,fángjiān
506,仿佛,fǎngfú
507,访问,fǎngwèn
508,放,fàng
509,放弃,fàngqì
510,放暑假,fàng shǔjià
511,放松,fàngsōng
512,放心,fàngxīn
513,非,fēi
514,非常,fēicháng
515,飞机,fēijī
516,肥皂,féizào
517,肺,fèi
518,废话,fèihuà
519,费用,fèiyong
520,分,fēn
521,分别,fēnbié
522,分布,fēnbù
523,分配,fēnpèi
524,分析,fēnxī
525,…分之…,fēnzhī
526,分钟,fēnzhōng
527,纷纷,fēnfēn
528,份,fèn
529,奋斗,fèndòu
530,愤怒,fènnù
531,丰富,fēngfù
532,风格,fēnggé
533,风景,fēngjǐng
534,风俗,fēngsú
535,风险,fēngxiǎn
536,疯狂,fēngkuáng
537,讽刺,fěngcì
538,否定,fǒudìng
539,否认,fǒurèn
540,否则,fǒuzé
541,扶,fú
542,幅,fú
543,服从,fúcóng
544,服务员,fúwùyuán
545,服装,fúzhuāng
546,符合,fúhé
547,辅导,fǔdǎo
548,富,fù
549,附近,fùjìn
550,付款,fùkuǎn
551,妇女,fùnǚ
552,父亲,fùqīn
553,复习,fùxí
