n,character,pinyin
1,爱,ài
2,八,bā
3,爸爸,bàba
4,杯子,bēizi
5,北京,Běijīng
6,本,běn
7,不客气,bú kèqi
8,不,bù
9,菜,cài
10,茶,chá
11,吃,chī
12,出租车,chūzūchē
13,打电话,dǎ diànhuà
14,大,dà
15,的,de
16,点,diǎn
17,电脑,diànnǎo
18,电视,diànshì
19,电影,diànyǐng
20,东西,dōngxi
21,都,dōu
22,读,dú
23,对不起,duìbuqǐ
24,多,duō
25,多少,duōshao
26,儿子,érzi
27,二,èr
28,饭馆,fànguǎn
29,飞机,fēijī
30,分钟,fēnzhōng
31,高兴,gāoxìng
32,个,gè
33,工作,gōngzuò
34,狗,gǒu
35,汉语,Hànyǔ
36,好,hǎo
37,喝,hē
38,和,hé
39,很,hěn
40,后面,hòumiàn
41,回,huí
42,会,huì
43,火车站,huǒchēzhàn
44,几,jǐ
45,家,jiā
46,叫,jiào
47,今天,jīntiān
48,九,jiǔ
49,开,kāi
50,看,kàn
51,看见,kànjiàn
52,块,kuài
53,来,lái
54,老师,lǎoshī
55,了,le
56,冷,lěng
57,里,lǐ
58,零,líng
59,六,liù
60,妈妈,māma
61,吗,ma
62,买,mǎi
63,猫,māo
64,没,méi
65,没关系,méi guānxi
66,米饭,mǐfàn
67,明天,míngtiān
68,名字,míngzi
69,哪（哪儿）,nǎ (nǎr)
70,那（那儿）,nà (nàr)
71,呢,ne
72,能,néng
73,你,nǐ
74,年,nián
75,女儿,nǚ'ér
76,朋友,péngyou
77,漂亮,piàoliang
78,苹果,píngguǒ
79,七,qī
80,钱,qián
81,前面,qiánmiàn
82,请,qǐng
83,去,qù
84,热,rè
85,人,rén
86,认识,rènshi
87,日,rì
88,三,sān
89,商店,shāngdiàn
90,上,shàng
91,上午,shàngwǔ
92,少,shǎo
93,谁,shéi
94,什么,shénme
95,十,shí
96,时候,shíhou
97,是,shì
98,书,shū
99,水,shuǐ
100,水果,shuǐguǒ
101,睡觉,shuìjiào
102,说话,shuōhuà
103,四,sì
104,岁,suì
105,他,tā
106,她,tā
107,太,tài
108,天气,tiānqì
109,听,tīng
110,同学,tóngxué
111,喂,wèi
112,我,wǒ
113,我们,wǒmen
114,五,wǔ
115,喜欢,xǐhuan
116,下,xià
117,下午,xiàwǔ
118,下雨,xià yǔ
119,先生,xiānsheng
120,现在,xiànzài
121,想,xiǎng
122,小,xiǎo
123,小姐,xiǎojiě
124,些,xiē
125,写,xiě
126,谢谢,xièxie
127,星期,xīngqī
128,学生,xuésheng
129,学习,xuéxí
130,学校,xuéxiào
131,一,yī
132,衣服,yīfu
133,医生,yīshēng
134,医院,yīyuàn
135,椅子,yǐzi
136,有,yǒu
137,月,yuè
138,在,zài
139,再见,zàijiàn
140,怎么,zěnme
141,怎么样,zěnmeyàng
142,这（这儿）,zhè (zhèr)
143,中国,Zhōngguó
144,中午,zhōngwǔ
145,住,zhù
146,桌子,zhuōzi
147,字,zì
148,昨天,zuótiān
149,坐,zuò
150,做,zuò
