n,character,pinyin
1,阿姨,āyí
2,啊,a
3,唉,āi
4,哎哟,āiyō
5,挨,ái
6,癌症,áizhèng
7,矮,ǎi
8,爱,ài
9,爱不释手,àibúshìshǒu
10,爱戴,àidài
11,爱好,àihào
12,爱护,àihù
13,爱情,àiqíng
14,爱惜,àixī
15,爱心,àixīn
16,暧昧,àimèi
17,安静,ānjìng
18,安居乐业,ānjū-lèyè
19,安宁,ānníng
20,安排,ānpái
21,安全,ānquán
22,安慰,ānwèi
23,安详,ānxiáng
24,安置,ānzhì
25,安装,ānzhuāng
26,岸,àn
27,暗,àn
28,暗示,ànshì
29,案件,ànjiàn
30,案例,ànlì
31,按摩,ànmó
32,按时,ànshí
33,按照,ànzhào
34,昂贵,ángguì
35,凹凸,āotū
36,熬,áo
37,奥秘,àomì
38,八,bā
39,扒,bā
40,疤,bā
41,巴不得,bābude
42,巴结,bājie
43,拔苗助长,bámiáo-zhùzhǎng
44,把,bǎ
45,把关,bǎguān
46,把手,bǎshou
47,把握,bǎwò
48,把戏,bǎxì
49,爸爸,bàba
50,霸道,bàdào
51,罢工,bàgōng
52,吧,ba
53,掰,bāi
54,白,bái
55,百,bǎi
56,百分点,bǎifēndiǎn
57,摆,bǎi
58,摆脱,bǎituō
59,拜访,bàifǎng
60,拜年,bàinián
61,拜托,bàituō
62,败坏,bàihuài
63,搬,bān
64,班,bān
65,班主任,bānzhǔrèn
66,颁布,bānbù
67,颁发,bānfā
68,斑纹,bānwén
69,版本,bǎnběn
70,半,bàn
71,半途而废,bàntú'érfèi
72,办法,bànfǎ
73,办公室,bàngōngshì
74,办理,bànlǐ
75,伴侣,bànlǚ
76,伴随,bànsuí
77,扮演,bànyǎn
78,帮忙,bāngmáng
79,帮助,bāngzhù
80,绑架,bǎngjià
81,榜样,bǎngyàng
82,磅,bàng
83,棒,bàng
84,傍晚,bàngwǎn
85,包,bāo
86,包庇,bāobì
87,包袱,bāofu
88,包裹,bāoguǒ
89,包含,bāohán
90,包括,bāokuò
91,包围,bāowéi
92,包装,bāozhuāng
93,包子,bāozi
94,薄,báo
95,饱,bǎo
96,饱和,bǎohé
97,饱经沧桑,bǎojīng-cāngsāng
98,宝贝,bǎobèi
99,宝贵,bǎoguì
100,保持,bǎochí
101,保存,bǎocún
102,保管,bǎoguǎn
103,保护,bǎohù
104,保留,bǎoliú
105,保密,bǎomì
106,保姆,bǎomǔ
107,保守,bǎoshǒu
108,保卫,bǎowèi
109,保险,bǎoxiǎn
110,保养,bǎoyǎng
111,保障,bǎozhàng
112,保证,bǎozhèng
113,保重,bǎozhòng
114,抱,bào
115,抱负,bàofù
116,抱歉,bàoqiàn
117,抱怨,bàoyuàn
118,报仇,bàochóu
119,报酬,bàochou
120,报答,bàodá
121,报到,bàodào
122,报道,bàodào
123,报复,bàofù
124,报告,bàogào
125,报名,bàomíng
126,报社,bàoshè
127,报销,bàoxiāo
128,报纸,bàozhǐ
129,爆发,bàofā
130,爆炸,bàozhà
131,曝光,bàoguāng
132,暴力,bàolì
133,暴露,bàolù
134,悲哀,bēi'āi
135,悲惨,bēicǎn
136,悲观,bēiguān
137,卑鄙,bēibǐ
138,杯子,bēizi
139,北方,běifāng
140,北极,běijí
141,北京,Běijīng
142,倍,bèi
143,被,bèi
144,被动,bèidòng
145,被告,bèigào
146,被子,bèizi
147,背,bèi
148,背景,bèijǐng
149,背叛,bèipàn
150,背诵,bèisòng
151,备份,bèifèn
152,备忘录,bèiwànglù
153,贝壳,bèiké
154,奔波,bēnbō
155,奔驰,bēnchí
156,本,běn
157,本科,běnkē
158,本来,běnlái
159,本领,běnlǐng
160,本能,běnnéng
161,本钱,běnqián
162,本人,běnrén
163,本身,běnshēn
164,本事,běnshi
165,本着,běnzhe
166,本质,běnzhì
167,笨,bèn
168,笨拙,bènzhuō
169,崩溃,bēngkuì
170,甭,béng
171,蹦,bèng
172,迸发,bèngfā
173,逼迫,bīpò
174,鼻涕,bítì
175,鼻子,bízi
176,比,bǐ
177,比方,bǐfang
178,比较,bǐjiào
179,比例,bǐlì
180,比如,bǐrú
181,比赛,bǐsài
182,比喻,bǐyù
183,比重,bǐzhòng
184,彼此,bǐcǐ
185,笔记本,bǐjìběn
186,臂,bì
187,弊病,bìbìng
188,弊端,bìduān
189,必定,bìdìng
190,必然,bìrán
191,必须,bìxū
192,必需,bìxū
193,必要,bìyào
194,毕竟,bìjìng
195,毕业,bìyè
196,避免,bìmiǎn
197,闭塞,bìsè
198,碧玉,bìyù
199,鞭策,biāncè
200,鞭炮,biānpào
201,编辑,biānjí
202,编织,biānzhī
203,边疆,biānjiāng
204,边界,biānjiè
205,边境,biānjìng
206,边缘,biānyuán
207,扁,biǎn
208,贬低,biǎndī
209,贬义,biǎnyì
210,遍,biàn
211,遍布,biànbù
212,便,biàn
213,便利,biànlì
214,便条,biàntiáo
215,便于,biànyú
216,变故,biàngù
217,变化,biànhuà
218,变迁,biànqiān
219,变质,biànzhì
220,辩护,biànhù
221,辩解,biànjiě
222,辩论,biànlùn
223,辩证,biànzhèng
224,辨认,biànrèn
225,辫子,biànzi
226,标本,biāoběn
227,标点,biāodiǎn
228,标记,biāojì
229,标题,biāotí
230,标志,biāozhì
231,标准,biāozhǔn
232,飙升,biāoshēng
233,表达,biǎodá
234,表格,biǎogé
235,表决,biǎojué
236,表面,biǎomiàn
237,表明,biǎomíng
238,表情,biǎoqíng
239,表示,biǎoshì
240,表态,biǎotài
241,表现,biǎoxiàn
242,表演,biǎoyǎn
243,表扬,biǎoyáng
244,表彰,biǎozhāng
245,憋,biē
246,别,bié
247,别人,biéren
248,别墅,biéshù
249,别致,biézhì
250,别扭,bièniu
251,宾馆,bīnguǎn
252,濒临,bīnlín
253,冰雹,bīngbáo
254,冰箱,bīngxiāng
255,丙,bǐng
256,饼干,bǐnggān
257,并存,bìngcún
258,并非,bìngfēi
259,并列,bìngliè
260,并且,bìngqiě
261,病毒,bìngdú
262,拨打,bōdǎ
263,播放,bōfàng
264,播种,bōzhòng
265,波浪,bōlàng
266,波涛汹涌,bōtāo-xiōngyǒng
267,玻璃,bōli
268,剥削,bōxuē
269,博大精深,bódà-jīngshēn
270,博览会,bólǎnhuì
271,博士,bóshì
272,博物馆,bówùguǎn
273,搏斗,bódòu
274,伯母,bómǔ
275,薄弱,bóruò
276,脖子,bózi
277,不必,búbì
278,不但,búdàn
279,不断,búduàn
280,不顾,búgù
281,不过,búguò
282,不见得,bú jiàndé
283,不客气,bú kèqi
284,不愧,búkuì
285,不料,búliào
286,不耐烦,bú nàifán
287,不像话,bú xiànghuà
288,不屑一顾,búxiè-yígù
289,不要紧,bú yàojǐn
290,补偿,bǔcháng
291,补充,bǔchōng
292,补救,bǔjiù
293,补贴,bǔtiē
294,哺乳,bǔrǔ
295,捕捉,bǔzhuō
296,不,bù
297,不安,bù'ān
298,不得不,bùdébù
299,不得了,bù déliǎo
300,不得已,bùdéyǐ
301,不妨,bùfáng
302,不敢当,bùgǎndāng
303,不管,bùguǎn
304,不好意思,bù hǎoyìsi
305,不禁,bùjīn
306,不仅,bùjǐn
307,不堪,bùkān
308,不可思议,bùkě-sīyì
309,不免,bùmiǎn
310,不然,bùrán
311,不如,bùrú
312,不时,bùshí
313,不惜,bùxī
314,不相上下,bùxiāng-shàngxià
315,不言而喻,bùyán'éryù
316,不由得,bùyóude
317,不择手段,bùzé-shǒuduàn
318,不止,bùzhǐ
319,不足,bùzú
320,布,bù
321,布告,bùgào
322,布局,bùjú
323,布置,bùzhì
324,步伐,bùfá
325,步骤,bùzhòu
326,部分,bùfen
327,部门,bùmén
328,部署,bùshǔ
329,部位,bùwèi
330,擦,cā
331,猜,cāi
332,才,cái
333,才干,cáigàn
334,财产,cáichǎn
335,财富,cáifù
336,财务,cáiwù
337,财政,cáizhèng
338,裁缝,cáifeng
339,裁判,cáipàn
340,裁员,cáiyuán
341,材料,cáiliào
342,踩,cǎi
343,采访,cǎifǎng
344,采购,cǎigòu
345,采集,cǎijí
346,采纳,cǎinà
347,采取,cǎiqǔ
348,彩虹,cǎihóng
349,彩票,cǎipiào
350,菜,cài
351,菜单,càidān
352,参观,cānguān
353,参加,cānjiā
354,参考,cānkǎo
355,参谋,cānmóu
356,参与,cānyù
357,参照,cānzhào
358,餐厅,cāntīng
359,残疾,cánjí
360,残酷,cánkù
361,残留,cánliú
362,残忍,cánrěn
363,惭愧,cánkuì
364,灿烂,cànlàn
365,舱,cāng
366,苍白,cāngbái
367,仓促,cāngcù
368,仓库,cāngkù
369,操场,cāochǎng
370,操劳,cāoláo
371,操练,cāoliàn
372,操心,cāoxīn
373,操纵,cāozòng
374,操作,cāozuò
375,嘈杂,cáozá
376,草,cǎo
377,草案,cǎo'àn
378,草率,cǎoshuài
379,册,cè
380,策划,cèhuà
381,策略,cèlüè
382,测量,cèliáng
383,测验,cèyàn
384,侧面,cèmiàn
385,厕所,cèsuǒ
386,层,céng
387,层出不穷,céngchū-bùqióng
388,层次,céngcì
389,曾经,céngjīng
390,插,chā
391,差别,chābié
392,差距,chājù
393,叉子,chāzi
394,茶,chá
395,查获,cháhuò
396,岔,chà
397,差,chà
398,差不多,chàbuduō
399,刹那,chànà
400,诧异,chàyì
401,拆,chāi
402,柴油,cháiyóu
403,搀,chān
404,馋,chán
405,缠绕,chánrào
406,产品,chǎnpǐn
407,产生,chǎnshēng
408,产业,chǎnyè
409,阐述,chǎnshù
410,颤抖,chàndǒu
411,猖狂,chāngkuáng
412,昌盛,chāngshèng
413,长,cháng
414,长城,Chángchéng
415,长江,Cháng Jiāng
416,长途,chángtú
417,尝,cháng
418,尝试,chángshì
419,偿还,chánghuán
420,常年,chángnián
421,常识,chángshí
422,常务,chángwù
423,场,chǎng
424,场合,chǎnghé
425,场面,chǎngmiàn
426,场所,chǎngsuǒ
427,敞开,chǎngkāi
428,倡导,chàngdǎo
429,倡议,chàngyì
430,唱歌,chànggē
431,畅通,chàngtōng
432,畅销,chàngxiāo
433,抄,chāo
434,超过,chāoguò
435,超级,chāojí
436,超市,chāoshì
437,超越,chāoyuè
438,钞票,chāopiào
439,朝,cháo
440,朝代,cháodài
441,潮流,cháoliú
442,潮湿,cháoshī
443,嘲笑,cháoxiào
444,炒,chǎo
445,吵,chǎo
446,吵架,chǎojià
447,车库,chēkù
448,车厢,chēxiāng
449,彻底,chèdǐ
450,撤退,chètuì
451,撤销,chèxiāo
452,沉淀,chéndiàn
453,沉闷,chénmèn
454,沉默,chénmò
455,沉思,chénsī
456,沉重,chénzhòng
457,沉着,chénzhuó
458,陈旧,chénjiù
459,陈列,chénliè
460,陈述,chénshù
461,趁,chèn
462,衬衫,chènshān
463,称心如意,chènxīn-rúyì
464,称,chēng
465,称号,chēnghào
466,称呼,chēnghu
467,称赞,chēngzàn
468,盛,chéng
469,橙,chéng
470,乘,chéng
471,乘务员,chéngwùyuán
472,乘坐,chéngzuò
473,承办,chéngbàn
474,承包,chéngbāo
475,承担,chéngdān
476,承诺,chéngnuò
477,承认,chéngrèn
478,承受,chéngshòu
479,城堡,chéngbǎo
480,成本,chéngběn
481,成分,chéngfèn
482,成功,chénggōng
483,成果,chéngguǒ
484,成绩,chéngjì
485,成交,chéngjiāo
486,成就,chéngjiù
487,成立,chénglì
488,成熟,chéngshú
489,成天,chéngtiān
490,成为,chéngwéi
491,成效,chéngxiào
492,成心,chéngxīn
493,成语,chéngyǔ
494,成员,chéngyuán
495,成长,chéngzhǎng
496,程度,chéngdù
497,程序,chéngxù
498,惩罚,chéngfá
499,诚恳,chéngkěn
500,诚实,chéngshí
501,诚挚,chéngzhì
502,澄清,chéngqīng
503,城市,chéngshì
504,呈现,chéngxiàn
505,秤,chèng
506,吃,chī
507,吃惊,chījīng
508,吃苦,chīkǔ
509,吃亏,chīkuī
510,吃力,chīlì
511,迟到,chídào
512,迟缓,chíhuǎn
513,迟疑,chíyí
514,持久,chíjiǔ
515,持续,chíxù
516,池塘,chítáng
517,池子,chízi
518,尺子,chǐzi
519,翅膀,chìbǎng
520,赤道,chìdào
521,赤字,chìzì
522,冲,chōng
523,冲动,chōngdòng
