n,character,pinyin
1,阿姨,āyí
2,啊,a
3,矮,ǎi
4,爱,ài
5,爱好,àihào
6,安静,ānjìng
7,八,bā
8,把,bǎ
9,爸爸,bàba
10,吧,ba
11,白,bái
12,百,bǎi
13,班,bān
14,搬,bān
15,半,bàn
16,办法,bànfǎ
17,办公室,bàngōngshì
18,帮忙,bāngmáng
19,帮助,bāngzhù
20,包,bāo
21,饱,bǎo
22,报纸,bàozhǐ
23,杯子,bēizi
24,北方,běifāng
25,北京,Běijīng
26,被,bèi
27,本,běn
28,鼻子,bízi
29,比,bǐ
30,比较,bǐjiào
31,比赛,bǐsài
32,必须,bìxū
33,变化,biànhuà
34,表示,biǎoshì
35,表演,biǎoyǎn
36,别,bié
37,别人,biéren
38,宾馆,bīnguǎn
39,冰箱,bīngxiāng
40,不客气,bú kèqi
41,不,bù
42,才,cái
43,菜,cài
44,菜单,càidān
45,参加,cānjiā
46,草,cǎo
47,层,céng
48,茶,chá
49,差,chà
50,长,cháng
51,唱歌,chànggē
52,超市,chāoshì
53,衬衫,chènshān
54,成绩,chéngjì
55,城市,chéngshì
56,吃,chī
57,迟到,chídào
58,出,chū
59,出现,chūxiàn
60,出租车,chūzūchē
61,厨房,chúfáng
62,除了,chúle
63,穿,chuān
64,船,chuán
65,春,chūn
66,词语,cíyǔ
67,次,cì
68,聪明,cōngming
69,从,cóng
70,错,cuò
71,打电话,dǎ diànhuà
72,打篮球,dǎ lánqiú
73,打扫,dǎsǎo
74,打算,dǎsuàn
75,大,dà
76,大家,dàjiā
77,带,dài
78,担心,dānxīn
79,蛋糕,dàngāo
80,但是,dànshì
81,当然,dāngrán
82,到,dào
83,地,de
84,的,de
85,得,de
86,灯,dēng
87,等,děng
88,低,dī
89,弟弟,dìdi
90,地方,dìfang
91,地铁,dìtiě
92,地图,dìtú
93,第一,dì-yī
94,点,diǎn
95,电脑,diànnǎo
96,电视,diànshì
97,电梯,diàntī
98,电影,diànyǐng
99,电子邮件,diànzǐ yóujiàn
100,东,dōng
101,东西,dōngxi
102,冬,dōng
103,懂,dǒng
104,动物,dòngwù
105,都,dōu
106,读,dú
107,短,duǎn
108,段,duàn
109,锻炼,duànliàn
110,对,duì
111,对不起,duìbuqǐ
112,多,duō
113,多么,duōme
114,多少,duōshao
115,饿,è
116,而且,érqiě
117,儿子,érzi
118,耳朵,ěrduo
119,二,èr
120,发烧,fāshāo
121,发现,fāxiàn
122,饭馆,fànguǎn
123,方便,fāngbiàn
124,房间,fángjiān
125,放,fàng
126,放心,fàngxīn
127,非常,fēicháng
128,飞机,fēijī
129,分,fēn
130,分钟,fēnzhōng
131,服务员,fúwùyuán
132,附近,fùjìn
133,复习,fùxí
134,干净,gānjìng
135,敢,gǎn
136,感冒,gǎnmào
137,刚才,gāngcái
138,高,gāo
139,高兴,gāoxìng
140,告诉,gàosu
141,哥哥,gēge
142,个,gè
143,给,gěi
144,跟,gēn
145,根据,gēnjù
146,更,gèng
147,公共汽车,gōnggòngqìchē
148,公斤,gōngjīn
149,公司,gōngsī
150,公园,gōngyuán
151,工作,gōngzuò
152,狗,gǒu
153,故事,gùshi
154,刮风,guā fēng
155,关,guān
156,关系,guānxì
157,关心,guānxīn
158,关于,guānyú
159,贵,guì
160,国家,guójiā
161,果汁,guǒzhī
162,过去,guòqù
163,过,guo
164,还,hái
165,还是,háishì
166,孩子,háizi
167,害怕,hàipà
168,汉语,Hànyǔ
169,好,hǎo
170,好吃,hǎochī
171,号,hào
172,喝,hē
173,和,hé
174,河,hé
175,黑,hēi
176,黑板,hēibǎn
177,很,hěn
178,红,hóng
179,后面,hòumiàn
180,护照,hùzhào
181,花（动）,huā
182,花园,huāyuán
183,画,huà
184,坏,huài
185,欢迎,huānyíng
186,还,huán
187,环境,huánjìng
188,换,huàn
189,黄,huáng
190,回,huí
191,回答,huídá
192,会,huì
193,会议,huìyì
194,火车站,huǒchēzhàn
195,或者,huòzhě
196,机场,jīchǎng
197,鸡蛋,jīdàn
198,几乎,jīhū
199,机会,jīhuì
200,极,jí
201,几,jǐ
202,记得,jìde
203,季节,jìjié
204,家,jiā
205,检查,jiǎnchá
206,简单,jiǎndān
207,件,jiàn
208,健康,jiànkāng
209,见面,jiànmiàn
210,讲,jiǎng
211,教,jiāo
212,角,jiǎo
213,脚,jiǎo
214,叫,jiào
215,教室,jiàoshì
216,接,jiē
217,街道,jiēdào
218,结婚,jiéhūn
219,结束,jiéshù
220,节目,jiémù
221,节日,jiérì
222,姐姐,jiějie
223,解决,jiějué
224,借,jiè
225,介绍,jièshào
226,今天,jīntiān
227,进,jìn
228,近,jìn
229,经常,jīngcháng
230,经过,jīngguò
231,经理,jīnglǐ
232,九,jiǔ
233,久,jiǔ
234,旧,jiù
235,就,jiù
236,举行,jǔxíng
237,句子,jùzi
238,觉得,juéde
239,决定,juédìng
240,咖啡,kāfēi
241,开,kāi
242,开始,kāishǐ
243,看,kàn
244,看见,kànjiàn
245,考试,kǎoshì
246,渴,kě
247,可爱,kě'ài
248,可能,kěnéng
249,可以,kěyǐ
250,刻,kè
251,课,kè
252,客人,kèrén
253,空调,kōngtiáo
254,口,kǒu
255,哭,kū
256,裤子,kùzi
257,块,kuài
258,快,kuài
259,快乐,kuàilè
260,筷子,kuàizi
261,来,lái
262,蓝,lán
263,老,lǎo
264,老师,lǎoshī
265,了,le
266,累,lèi
267,冷,lěng
268,离,lí
269,离开,líkāi
270,里,lǐ
271,礼物,lǐwù
272,历史,lìshǐ
273,脸,liǎn
274,练习,liànxí
275,两,liǎng
276,辆,liàng
277,了解,liǎojiě
278,邻居,línjū
279,零,líng
280,六,liù
281,楼,lóu
282,路,lù
283,旅游,lǚyóu
284,绿,lǜ
285,妈妈,māma
286,马,mǎ
287,马上,mǎshàng
288,吗,ma
289,买,mǎi
290,卖,mài
291,满意,mǎnyì
292,慢,màn
293,忙,máng
294,猫,māo
295,帽子,màozi
296,没,méi
297,没关系,méi guānxi
298,每,měi
299,妹妹,mèimei
300,门,mén
301,米,mǐ
302,米饭,mǐfàn
303,面包,miànbāo
304,面条,miàntiáo
305,明白,míngbai
306,明天,míngtiān
307,名字,míngzi
308,拿,ná
309,哪（哪儿）,nǎ (nǎr)
310,那（那儿）,nà (nàr)
311,奶奶,nǎinai
312,南,nán
313,男人,nánrén
314,难,nán
315,难过,nánguò
316,呢,ne
317,能,néng
318,你,nǐ
319,年,nián
320,年级,niánjí
321,年轻,niánqīng
322,鸟,niǎo
323,您,nín
324,牛奶,niúnǎi
325,努力,nǔlì
326,女儿,nǚ'ér
327,女人,nǚrén
328,爬山,páshān
329,盘子,pánzi
330,旁边,pángbiān
331,胖,pàng
332,跑步,pǎobù
333,朋友,péngyou
334,啤酒,píjiǔ
335,便宜,piányi
336,票,piào
337,漂亮,piàoliang
338,苹果,píngguǒ
339,葡萄,pútao
340,普通话,pǔtōnghuà
341,七,qī
342,妻子,qīzi
343,其实,qíshí
344,其他,qítā
345,骑,qí
346,奇怪,qíguài
347,起床,qǐchuáng
348,千,qiān
349,铅笔,qiānbǐ
350,钱,qián
351,前面,qiánmiàn
352,清楚,qīngchu
353,晴,qíng
354,请,qǐng
355,秋,qiū
356,去,qù
357,去年,qùnián
358,裙子,qúnzi
359,然后,ránhòu
360,让,ràng
361,热,rè
362,热情,rèqíng
363,人,rén
364,认识,rènshi
365,认为,rènwéi
366,认真,rènzhēn
367,日,rì
368,容易,róngyì
369,如果,rúguǒ
370,三,sān
371,伞,sǎn
372,商店,shāngdiàn
373,上,shàng
374,上班,shàngbān
375,上网,shàngwǎng
376,上午,shàngwǔ
377,少,shǎo
378,谁,shéi
379,身体,shēntǐ
380,什么,shénme
381,生病,shēngbìng
382,生气,shēngqì
383,生日,shēngrì
384,声音,shēngyīn
385,十,shí
386,时候,shíhou
387,时间,shíjiān
388,使,shǐ
389,是,shì
390,世界,shìjiè
391,事情,shìqing
392,手表,shǒubiǎo
393,手机,shǒujī
394,瘦,shòu
395,书,shū
396,舒服,shūfu
397,叔叔,shūshu
398,树,shù
399,数学,shùxué
400,刷牙,shuā yá
401,双,shuāng
402,水,shuǐ
403,水果,shuǐguǒ
404,水平,shuǐpíng
405,睡觉,shuìjiào
406,说话,shuōhuà
407,司机,sījī
408,四,sì
409,送,sòng
410,虽然,suīrán
411,岁,suì
412,所以,suǒyǐ
413,他,tā
414,她,tā
415,它,tā
416,太,tài
417,太阳,tàiyáng
418,糖,táng
419,特别,tèbié
420,疼,téng
421,踢足球,tī zúqiú
422,题,tí
423,提高,tígāo
424,体育,tǐyù
425,天气,tiānqì
426,甜,tián
427,条,tiáo
428,跳舞,tiàowǔ
429,听,tīng
430,同事,tóngshì
431,同学,tóngxué
432,同意,tóngyì
433,头发,tóufa
434,突然,tūrán
435,图书馆,túshūguǎn
436,腿,tuǐ
437,外,wài
438,完,wán
439,完成,wánchéng
440,玩,wán
441,碗,wǎn
442,晚上,wǎnshang
443,万,wàn
444,忘记,wàngjì
445,喂,wèi
446,为,wèi
447,为了,wèile
448,为什么,wèi shénme
449,位,wèi
450,文化,wénhuà
451,问,wèn
452,问题,wèntí
453,我,wǒ
454,我们,wǒmen
455,五,wǔ
456,西,xī
457,西瓜,xīguā
458,希望,xīwàng
459,习惯,xíguàn
460,洗,xǐ
461,洗手间,xǐshǒujiān
462,洗澡,xǐzǎo
463,喜欢,xǐhuan
464,下,xià
465,下午,xiàwǔ
466,下雨,xià yǔ
467,夏,xià
468,先,xiān
469,先生,xiānsheng
470,现在,xiànzài
471,香蕉,xiāngjiāo
472,相同,xiāngtóng
473,相信,xiāngxìn
474,想,xiǎng
475,向,xiàng
476,像,xiàng
477,小,xiǎo
478,小姐,xiǎojiě
479,小时,xiǎoshí
480,小心,xiǎoxīn
481,笑,xiào
482,校长,xiàozhǎng
483,些,xiē
484,鞋,xié
485,写,xiě
486,谢谢,xièxie
487,新,xīn
488,新闻,xīnwén
489,新鲜,xīnxiān
490,信,xìn
491,星期,xīngqī
492,行李箱,xínglixiāng
493,姓,xìng
494,兴趣,xìngqù
495,熊猫,xióngmāo
496,休息,xiūxi
497,需要,xūyào
498,选择,xuǎnzé
499,学生,xuésheng
500,学习,xuéxí
501,学校,xuéxiào
502,雪,xuě
503,颜色,yánsè
504,眼镜,yǎnjìng
505,眼睛,yǎnjing
506,羊肉,yángròu
507,要求,yāoqiú
508,药,yào
509,要,yào
510,爷爷,yéye
511,也,yě
512,一,yī
513,衣服,yīfu
514,医生,yīshēng
515,医院,yīyuàn
516,一定,yídìng
517,一共,yígòng
518,一会儿,yíhuìr
519,一样,yíyàng
520,以后,yǐhòu
521,以前,yǐqián
522,以为,yǐwéi
523,已经,yǐjīng
524,椅子,yǐzi
525,一般,yìbān
526,一边,yìbiān
527,一起,yìqǐ
528,一直,yìzhí
529,意思,yìsi
530,阴,yīn
531,因为,yīnwèi
532,音乐,yīnyuè
533,银行,yínháng
534,应该,yīnggāi
535,影响,yǐngxiǎng
536,用,yòng
537,游戏,yóuxì
538,游泳,yóuyǒng
539,有,yǒu
540,有名,yǒumíng
541,又,yòu
542,右边,yòubian
543,鱼,yú
544,遇到,yùdào
545,元,yuán
546,远,yuǎn
547,愿意,yuànyì
548,月,yuè
549,月亮,yuèliang
550,越,yuè
551,云,yún
552,运动,yùndòng
553,在,zài
554,再,zài
555,再见,zàijiàn
556,早上,zǎoshang
557,怎么,zěnme
558,怎么样,zěnmeyàng
559,站,zhàn
560,张,zhāng
561,长,zhǎng
562,丈夫,zhàngfu
563,着急,zháojí
564,找,zhǎo
565,照顾,zhàogù
566,照片,zhàopiàn
567,照相机,zhàoxiàngjī
568,这（这儿）,zhè (zhèr)
569,着,zhe
570,真,zhēn
571,正在,zhèngzài
572,知道,zhīdào
573,只,zhǐ
574,中国,Zhōngguó
575,中间,zhōngjiān
576,中午,zhōngwǔ
577,终于,zhōngyú
578,种,zhǒng
579,重要,zhòngyào
580,周末,zhōumò
581,主要,zhǔyào
582,住,zhù
583,祝,zhù
584,注意,zhùyì
585,准备,zhǔnbèi
586,桌子,zhuōzi
587,字,zì
588,字典,zìdiǎn
