n,character,pinyin
1,爱,ài
2,八,bā
3,爸爸,bàba
4,吧,ba
5,白,bái
6,百,bǎi
7,帮助,bāngzhù
8,报纸,bàozhǐ
9,杯子,bēizi
10,北京,Běijīng
11,本,běn
12,比,bǐ
13,别,bié
14,不客气,bú kèqi
15,不,bù
16,菜,cài
17,茶,chá
18,长,cháng
19,唱歌,chànggē
20,吃,chī
21,出,chū
22,出租车,chūzūchē
23,穿,chuān
24,船,chuán
25,次,cì
26,从,cóng
27,错,cuò
28,打电话,dǎ diànhuà
29,打篮球,dǎ lánqiú
30,大,dà
31,大家,dàjiā
32,但是,dànshì
33,到,dào
34,的,de
35,得,de
36,等,děng
37,弟弟,dìdi
38,第一,dì-yī
39,点,diǎn
40,电脑,diànnǎo
41,电视,diànshì
42,电影,diànyǐng
43,东西,dōngxi
44,懂,dǒng
45,都,dōu
46,读,dú
47,对,duì
48,对不起,duìbuqǐ
49,多,duō
50,多少,duōshao
51,儿子,érzi
52,二,èr
53,饭馆,fànguǎn
54,房间,fángjiān
55,非常,fēicháng
56,飞机,fēijī
57,分钟,fēnzhōng
58,服务员,fúwùyuán
59,高,gāo
60,高兴,gāoxìng
61,告诉,gàosu
62,哥哥,gēge
63,个,gè
64,给,gěi
65,公共汽车,gōnggòngqìchē
66,公斤,gōngjīn
67,公司,gōngsī
68,工作,gōngzuò
69,狗,gǒu
70,贵,guì
71,过,guo
72,还,hái
73,孩子,háizi
74,汉语,Hànyǔ
75,好,hǎo
76,好吃,hǎochī
77,号,hào
78,喝,hē
79,和,hé
80,黑,hēi
81,很,hěn
82,红,hóng
83,后面,hòumiàn
84,欢迎,huānyíng
85,回,huí
86,回答,huídá
87,会,huì
88,火车站,huǒchēzhàn
89,机场,jīchǎng
90,鸡蛋,jīdàn
91,几,jǐ
92,家,jiā
93,件,jiàn
94,叫,jiào
95,教室,jiàoshì
96,姐姐,jiějie
97,介绍,jièshào
98,今天,jīntiān
99,进,jìn
100,近,jìn
101,九,jiǔ
102,就,jiù
103,觉得,juéde
104,咖啡,kāfēi
105,开,kāi
106,开始,kāishǐ
107,看,kàn
108,看见,kànjiàn
109,考试,kǎoshì
110,可能,kěnéng
111,可以,kěyǐ
112,课,kè
113,块,kuài
114,快,kuài
115,快乐,kuàilè
116,来,lái
117,老师,lǎoshī
118,了,le
119,累,lèi
120,冷,lěng
121,离,lí
122,里,lǐ
123,两,liǎng
124,零,líng
125,六,liù
126,路,lù
127,旅游,lǚyóu
128,妈妈,māma
129,吗,ma
130,买,mǎi
131,卖,mài
132,慢,màn
133,忙,máng
134,猫,māo
135,没,méi
136,没关系,méi guānxi
137,每,měi
138,妹妹,mèimei
139,门,mén
140,米饭,mǐfàn
141,明天,míngtiān
142,名字,míngzi
143,哪（哪儿）,nǎ (nǎr)
144,那（那儿）,nà (nàr)
145,男人,nánrén
146,呢,ne
147,能,néng
148,你,nǐ
149,年,nián
150,您,nín
151,牛奶,niúnǎi
152,女儿,nǚ'ér
153,女人,nǚrén
154,旁边,pángbiān
155,跑步,pǎobù
156,朋友,péngyou
157,便宜,piányi
158,票,piào
159,漂亮,piàoliang
160,苹果,píngguǒ
161,七,qī
162,妻子,qīzi
163,起床,qǐchuáng
164,千,qiān
165,钱,qián
166,前面,qiánmiàn
167,晴,qíng
168,请,qǐng
169,去,qù
170,去年,qùnián
171,让,ràng
172,热,rè
173,人,rén
174,认识,rènshi
175,日,rì
176,三,sān
177,商店,shāngdiàn
178,上,shàng
179,上班,shàngbān
180,上午,shàngwǔ
181,少,shǎo
182,谁,shéi
183,身体,shēntǐ
184,什么,shénme
185,生病,shēngbìng
186,生日,shēngrì
187,十,shí
188,时候,shíhou
189,时间,shíjiān
190,是,shì
191,事情,shìqing
192,手表,shǒubiǎo
193,手机,shǒujī
194,书,shū
195,水,shuǐ
196,水果,shuǐguǒ
197,睡觉,shuìjiào
198,说话,shuōhuà
199,四,sì
200,送,sòng
201,岁,suì
202,所以,suǒyǐ
203,他,tā
204,她,tā
205,它,tā
206,太,tài
207,踢足球,tī zúqiú
208,题,tí
209,天气,tiānqì
210,跳舞,tiàowǔ
211,听,tīng
212,同学,tóngxué
213,外,wài
214,完,wán
215,玩,wán
216,晚上,wǎnshang
217,喂,wèi
218,为什么,wèi shénme
219,问,wèn
220,问题,wèntí
221,我,wǒ
222,我们,wǒmen
223,五,wǔ
224,西瓜,xīguā
225,希望,xīwàng
226,洗,xǐ
227,喜欢,xǐhuan
228,下,xià
229,下午,xiàwǔ
230,下雨,xià yǔ
231,先生,xiānsheng
232,现在,xiànzài
233,想,xiǎng
234,向,xiàng
235,小,xiǎo
236,小姐,xiǎojiě
237,小时,xiǎoshí
238,笑,xiào
239,些,xiē
240,写,xiě
241,谢谢,xièxie
242,新,xīn
243,星期,xīngqī
244,姓,xìng
245,休息,xiūxi
246,学生,xuésheng
247,学习,xuéxí
248,学校,xuéxiào
249,雪,xuě
250,颜色,yánsè
251,眼睛,yǎnjing
252,羊肉,yángròu
253,药,yào
254,要,yào
255,也,yě
256,一,yī
257,衣服,yīfu
258,医生,yīshēng
259,医院,yīyuàn
260,已经,yǐjīng
261,椅子,yǐzi
262,一起,yìqǐ
263,意思,yìsi
264,阴,yīn
265,因为,yīnwèi
266,游泳,yóuyǒng
267,有,yǒu
268,右边,yòubian
269,鱼,yú
270,元,yuán
271,远,yuǎn
272,月,yuè
273,运动,yùndòng
274,在,zài
275,再,zài
276,再见,zàijiàn
277,早上,zǎoshang
278,怎么,zěnme
279,怎么样,zěnmeyàng
280,张,zhāng
281,丈夫,zhàngfu
282,找,zhǎo
283,这（这儿）,zhè (zhèr)
284,着,zhe
285,真,zhēn
286,正在,zhèngzài
287,知道,zhīdào
288,中国,Zhōngguó
289,中午,zhōngwǔ
290,住,zhù
291,准备,zhǔnbèi
292,桌子,zhuōzi
293,字,zì
294,自行车,zìxíngchē
295,走,zǒu
296,最,zuì
297,昨天,zuótiān
298,左边,zuǒbian
299,坐,zuò
300,做,zuò
